Country (Name),State/Province,City,Latitude,Longitude
United States,Alaska,Alaska Peninsula Nwr,57.159,-154.08
United States,Alaska,Anchor Point,59.822,-151.598
United States,Alaska,Anchorage,61.189,-149.888
United States,Alaska,Barrow,71.285,-156.782
United States,Alaska,Bethel,60.932,-161.801
United States,Alaska,Chugiak,61.414,-149.171
United States,Alaska,Cooper Landing,60.496,-149.828
United States,Alaska,Cordova,60.792,-145.612
United States,Alaska,Craig,55.462,-132.839
United States,Alaska,Delta Junction,63.705,-144.897
United States,Alaska,Dillingham,58.824,-157.862
United States,Alaska,Dutch Harbor,53.897,-166.536
United States,Alaska,Eagle River,61.215,-149.258
United States,Alaska,Eielson Afb,64.675,-147.048
United States,Alaska,Elmendorf Afb,61.276,-149.792
United States,Alaska,Fairbanks,64.838,-147.716
United States,Alaska,Fort Richardson,61.315,-149.652
United States,Alaska,Fort Wainwright,64.814,-147.626
United States,Alaska,Girdwood,60.903,-148.919
United States,Alaska,Haines,59.161,-135.868
United States,Alaska,Homer,59.404,-151.324
United States,Alaska,Juneau,58.581,-134.77
United States,Alaska,Kenai,60.661,-150.906
United States,Alaska,Ketchikan,55.615,-131.585
United States,Alaska,King Cove,55.085,-162.322
United States,Alaska,Kipnuk,59.934,-164.068
United States,Alaska,Kodiak,57.79,-152.407
United States,Alaska,Kongiganak,59.953,-162.895
United States,Alaska,Kotzebue,67.244,-161.197
United States,Alaska,Manokotak,58.883,-158.933
United States,Alaska,Moose Pass,60.576,-149.452
United States,Alaska,Nikiski,60.69,-151.289
United States,Alaska,Nome,64.716,-164.628
United States,Alaska,North Pole,64.778,-147.337
United States,Alaska,Palmer,61.609,-148.466
United States,Alaska,Petersburg,57.058,-132.628
United States,Alaska,Port Alsworth,60.202,-154.313
United States,Alaska,Quinhagak,59.814,-161.719
United States,Alaska,Seward,60.055,-149.337
United States,Alaska,Sitka,56.735,-135.009
United States,Alaska,Skagway,59.57,-135.358
United States,Alaska,Soldotna,60.321,-150.799
United States,Alaska,Southerly North Slope Bo,71.285,-156.782
United States,Alaska,Tok,63.669,-143.196
United States,Alaska,Toksook Bay,60.534,-165.104
United States,Alaska,Valdez,61.407,-145.667
United States,Alaska,Wasilla,61.523,-149.575
United States,Alaska,Whittier,60.773,-148.684
United States,Alaska,Wrangell,55.954,-131.961
United States,Alabama,Adamsville,33.579,-86.994
United States,Alabama,Alabaster,33.224,-86.773
United States,Alabama,Albertville,34.252,-86.257
United States,Alabama,Alexander City,32.944,-85.954
United States,Alabama,Alexandria,33.775,-85.905
United States,Alabama,Aliceville,33.107,-88.153
United States,Alabama,Alpine,33.342,-86.225
United States,Alabama,Altoona,34.039,-86.287
United States,Alabama,Andalusia,31.249,-86.59
United States,Alabama,Anniston,33.696,-85.682
United States,Alabama,Arab,34.312,-86.505
United States,Alabama,Ardmore,34.958,-86.778
United States,Alabama,Ashland,33.22,-85.88
United States,Alabama,Ashville,33.786,-86.221
United States,Alabama,Athens,34.768,-87.106
United States,Alabama,Atmore,31.174,-87.498
United States,Alabama,Attalla,34.09,-86.044
United States,Alabama,Auburn,32.61,-85.481
United States,Alabama,Auburn University,32.578,-85.349
United States,Alabama,Baileyton,34.307,-86.636
United States,Alabama,Bay Minette,30.883,-87.726
United States,Alabama,Bessemer,33.402,-86.939
United States,Alabama,Birmingham,33.352,-86.821
United States,Alabama,Blountsville,34.119,-86.562
United States,Alabama,Boaz,34.192,-86.193
United States,Alabama,Brent,32.909,-87.264
United States,Alabama,Brewton,31.167,-87.076
United States,Alabama,Bridgeport,34.933,-85.778
United States,Alabama,Brilliant,34.052,-87.768
United States,Alabama,Brookwood,33.314,-87.26
United States,Alabama,Brownsboro,34.721,-86.472
United States,Alabama,Brundidge,31.671,-85.835
United States,Alabama,Bryant,34.914,-85.648
United States,Alabama,Butler,32.106,-88.238
United States,Alabama,Calera,33.101,-86.708
United States,Alabama,Camden,31.987,-87.274
United States,Alabama,Carbon Hill,33.826,-87.531
United States,Alabama,Castleberry,31.311,-86.973
United States,Alabama,Cedar Bluff,34.303,-85.683
United States,Alabama,Centre,34.119,-85.593
United States,Alabama,Centreville,32.904,-87.085
United States,Alabama,Chancellor,31.188,-85.869
United States,Alabama,Chatom,31.472,-88.252
United States,Alabama,Chelsea,33.314,-86.671
United States,Alabama,Cherokee,34.739,-87.993
United States,Alabama,Childersburg,33.259,-86.363
United States,Alabama,Citronelle,31.091,-88.266
United States,Alabama,Clanton,32.826,-86.676
United States,Alabama,Clayton,31.808,-85.411
United States,Alabama,Coker,33.266,-87.687
United States,Alabama,Collinsville,34.286,-85.879
United States,Alabama,Columbiana,33.223,-86.608
United States,Alabama,Cordova,33.729,-87.183
United States,Alabama,Cottondale,33.173,-87.387
United States,Alabama,Cottonwood,31.053,-85.302
United States,Alabama,Cropwell,33.513,-86.34
United States,Alabama,Crossville,34.297,-86.041
United States,Alabama,Cullman,34.154,-86.747
United States,Alabama,Dadeville,32.797,-85.758
United States,Alabama,Daleville,31.254,-85.713
United States,Alabama,Daphne,30.606,-87.858
United States,Alabama,Deatsville,32.611,-86.42
United States,Alabama,Decatur,34.606,-87.008
United States,Alabama,Demopolis,32.415,-87.915
United States,Alabama,Dora,33.726,-87.047
United States,Alabama,Dothan,31.262,-85.414
United States,Alabama,Duncanville,33.077,-87.43
United States,Alabama,Eclectic,32.645,-86.034
United States,Alabama,Elba,31.421,-86.061
United States,Alabama,Elberta,30.408,-87.555
United States,Alabama,Elkmont,34.927,-86.957
United States,Alabama,Enterprise,31.308,-85.881
United States,Alabama,Epes,32.712,-88.187
United States,Alabama,Eufaula,31.918,-85.209
United States,Alabama,Eutaw,32.928,-87.968
United States,Alabama,Evergreen,31.504,-86.934
United States,Alabama,Fackler,34.831,-85.982
United States,Alabama,Fairfield,33.476,-86.927
United States,Alabama,Fairhope,30.48,-87.866
United States,Alabama,Falkville,34.339,-86.93
United States,Alabama,Fayette,33.644,-87.827
United States,Alabama,Five Points,33.024,-85.313
United States,Alabama,Flat Rock,34.793,-85.685
United States,Alabama,Florala,31.108,-86.362
United States,Alabama,Florence,34.8,-87.677
United States,Alabama,Foley,30.388,-87.72
United States,Alabama,Forest Home,31.856,-86.847
United States,Alabama,Fort Mitchell,32.288,-84.973
United States,Alabama,Fort Payne,34.402,-85.71
United States,Alabama,Fort Rucker,31.35,-85.685
United States,Alabama,Fosters,33.085,-87.669
United States,Alabama,Frisco City,31.439,-87.447
United States,Alabama,Fultondale,33.595,-86.831
United States,Alabama,Fyffe,34.47,-85.965
United States,Alabama,Gadsden,34.053,-85.929
United States,Alabama,Gardendale,33.706,-86.824
United States,Alabama,Geneva,31.09,-85.895
United States,Alabama,Geraldine,34.371,-86.019
United States,Alabama,Gilbertown,31.907,-88.225
United States,Alabama,Goodwater,33.08,-86.019
United States,Alabama,Gordo,33.28,-87.918
United States,Alabama,Grady,31.937,-86.227
United States,Alabama,Grand Bay,30.492,-88.331
United States,Alabama,Grant,34.508,-86.313
United States,Alabama,Greensboro,32.697,-87.617
United States,Alabama,Greenville,31.744,-86.652
United States,Alabama,Grove Hill,31.705,-87.817
United States,Alabama,Guin,33.982,-87.885
United States,Alabama,Gulf Shores,30.251,-87.683
United States,Alabama,Guntersville,34.32,-86.273
United States,Alabama,Gurley,34.721,-86.387
United States,Alabama,Haleyville,34.237,-87.588
United States,Alabama,Hamilton,34.161,-87.996
United States,Alabama,Hanceville,34.004,-86.832
United States,Alabama,Harpersville,33.337,-86.455
United States,Alabama,Hartselle,34.444,-86.937
United States,Alabama,Harvest,34.817,-86.683
United States,Alabama,Hayden,33.931,-86.777
United States,Alabama,Hayneville,32.19,-86.68
United States,Alabama,Hazel Green,34.934,-86.58
United States,Alabama,Headland,31.362,-85.316
United States,Alabama,Helena,33.251,-86.921
United States,Alabama,Henagar,34.646,-85.72
United States,Alabama,Higdon,34.829,-85.615
United States,Alabama,Highland Home,31.946,-86.31
United States,Alabama,Holly Pond,34.188,-86.603
United States,Alabama,Hollywood,34.765,-85.964
United States,Alabama,Horton,34.167,-86.384
United States,Alabama,Huntsville,34.804,-86.619
United States,Alabama,Irvington,30.479,-88.23
United States,Alabama,Jackson,31.537,-87.827
United States,Alabama,Jacksonville,33.856,-85.776
United States,Alabama,Jasper,33.9,-87.172
United States,Alabama,Jemison,32.979,-86.742
United States,Alabama,Killen,34.905,-87.507
United States,Alabama,Kimberly,33.771,-86.808
United States,Alabama,Laceys Spring,34.524,-86.615
United States,Alabama,Lanett,32.895,-85.266
United States,Alabama,Leeds,33.515,-86.553
United States,Alabama,Leighton,34.668,-87.522
United States,Alabama,Leroy,31.491,-87.973
United States,Alabama,Lillian,30.417,-87.45
United States,Alabama,Lincoln,33.604,-86.111
United States,Alabama,Linden,32.284,-87.763
United States,Alabama,Livingston,32.563,-88.114
United States,Alabama,Loxley,30.639,-87.738
United States,Alabama,Luverne,31.744,-86.295
United States,Alabama,Lynn,34.046,-87.562
United States,Alabama,Madison,34.714,-86.742
United States,Alabama,Mccalla,33.291,-87.094
United States,Alabama,Meridianville,34.866,-86.554
United States,Alabama,Millbrook,32.478,-86.36
United States,Alabama,Millport,33.586,-88.135
United States,Alabama,Millry,31.618,-88.294
United States,Alabama,Mobile,30.659,-88.354
United States,Alabama,Monroeville,31.506,-87.332
United States,Alabama,Montevallo,33.107,-86.903
United States,Alabama,Montgomery,32.367,-86.3
United States,Alabama,Moody,33.606,-86.492
United States,Alabama,Morris,33.725,-86.77
United States,Alabama,Moulton,34.462,-87.295
United States,Alabama,Moundville,32.939,-87.585
United States,Alabama,Mount Olive,33.653,-86.901
